town,age,job,married,education,arrears,housing,target
Birmingham,42,services,single,unknown,no,no,no
Cheltenham,30,admin.,married,secondary,no,yes,no
Rotherham,51,management,married,tertiary,no,yes,no
Rochdale,57,management,divorced,unknown,no,no,no
Swindon,38,entrepreneur,married,secondary,no,yes,yes
London,39,management,divorced,tertiary,no,no,no
Rotherham,53,retired,married,secondary,no,yes,no
Warrington,47,blue-collar,married,primary,no,yes,yes
Glasgow,64,entrepreneur,married,tertiary,no,no,yes
Manchester,47,housemaid,married,secondary,yes,yes,no
Glasgow,58,management,married,tertiary,no,yes,no
Basingstoke,38,services,married,secondary,no,yes,no
Basingstoke,66,retired,married,secondary,no,no,yes
Birmingham,28,technician,single,secondary,no,no,yes
Crawley,26,technician,single,secondary,no,yes,yes
Worcester,35,technician,single,secondary,no,yes,no
High Wycombe,56,admin.,married,secondary,no,yes,no
Stoke-on-Trent,39,blue-collar,single,secondary,no,yes,no
Chesterfield,31,technician,single,tertiary,no,no,yes
Bolton,72,retired,married,primary,no,no,yes
Colchester,38,management,married,tertiary,no,yes,no
Manchester,51,admin.,married,unknown,no,yes,no
Sutton Coldfield,27,student,single,secondary,no,no,no
Southend-on-Sea,42,technician,divorced,secondary,no,no,yes
Edinburgh,32,unemployed,married,unknown,no,no,no
London,42,technician,married,tertiary,no,no,yes
Reading,58,services,married,secondary,no,no,no
Wolverhampton,57,management,married,secondary,no,no,no
Brighton,26,blue-collar,married,secondary,no,yes,yes
Glasgow,77,retired,married,tertiary,no,no,yes
Bristol,36,entrepreneur,single,secondary,no,no,no
Glasgow,32,admin.,divorced,secondary,no,no,yes
Birmingham,46,admin.,married,unknown,no,no,yes
Liverpool,39,services,married,secondary,no,yes,no
Basingstoke,41,admin.,married,secondary,no,no,no
Stoke-on-Trent,36,blue-collar,married,primary,no,yes,yes
Solihull,51,management,married,secondary,no,no,no
Liverpool,52,services,married,secondary,no,no,no
Eastbourne,26,admin.,single,tertiary,no,yes,no
Chester,50,unemployed,married,secondary,no,no,yes
Bath,57,blue-collar,married,primary,yes,no,no
Birmingham,49,management,divorced,tertiary,no,no,yes
London,57,retired,divorced,primary,no,no,yes
Basildon,22,student,single,secondary,no,no,no
Gateshead,34,admin.,married,tertiary,no,no,yes
Darlington,42,technician,married,tertiary,no,yes,yes
Southampton,27,management,single,tertiary,no,no,yes
Cardiff,30,admin.,single,tertiary,no,yes,yes
Luton,31,blue-collar,married,secondary,no,yes,no
Bournemouth,49,technician,married,secondary,no,yes,no
Maidstone,77,retired,married,tertiary,no,no,yes
Coventry,34,admin.,divorced,secondary,no,yes,no
Chester,37,management,married,tertiary,no,yes,no
London,24,technician,single,secondary,no,yes,yes
Birmingham,53,management,married,tertiary,no,yes,no
Colchester,35,management,married,tertiary,no,yes,no
Luton,46,blue-collar,married,secondary,no,yes,no
Liverpool,40,blue-collar,divorced,primary,no,yes,no
Bolton,60,retired,married,secondary,no,no,yes
London,22,student,single,unknown,no,no,yes
Sheffield,54,admin.,married,primary,no,no,no
Chesterfield,81,retired,divorced,unknown,no,no,no
Basildon,39,management,married,tertiary,no,no,no
Worcester,39,management,single,tertiary,no,yes,no
Bristol,34,blue-collar,divorced,secondary,no,yes,no
Darlington,24,student,single,secondary,no,no,yes
Bolton,46,admin.,married,tertiary,no,no,yes
Swindon,45,entrepreneur,married,primary,no,yes,no
Cambridge,40,management,single,tertiary,no,yes,yes
Northampton,37,technician,married,tertiary,no,no,yes
Leicester,80,retired,divorced,primary,no,no,yes
Wakefield,25,technician,single,tertiary,no,yes,no
Basingstoke,40,blue-collar,married,primary,no,no,no
Solihull,31,management,single,tertiary,no,no,yes
Coventry,31,management,single,tertiary,no,yes,no
Oldham,43,blue-collar,married,primary,no,yes,no
County Down,28,management,single,tertiary,no,no,yes
Salford,27,management,single,secondary,no,no,no
Poole,38,blue-collar,married,secondary,no,yes,no
Bath,29,blue-collar,married,secondary,no,yes,no
Northampton,34,admin.,married,tertiary,no,yes,no
Sutton Coldfield,35,unemployed,single,tertiary,no,no,yes
York,30,management,single,tertiary,no,yes,yes
Cardiff,53,admin.,divorced,secondary,no,yes,no
Cardiff,44,blue-collar,married,primary,no,yes,yes
Kingston upon Hull,27,admin.,married,secondary,no,no,yes
Basingstoke,51,blue-collar,married,secondary,no,no,no
Rotherham,27,student,single,unknown,no,no,yes
Aberdeen,49,technician,divorced,secondary,no,yes,no
Grimsby,28,blue-collar,single,tertiary,no,yes,no
Lincoln,59,self-employed,married,tertiary,no,no,yes
Southampton,28,management,single,tertiary,no,no,no
Stevenage,53,blue-collar,married,secondary,no,yes,no
Bristol,57,entrepreneur,married,tertiary,no,no,no
Glasgow,39,management,single,tertiary,no,yes,yes
Southport,37,technician,single,secondary,no,yes,yes
Sale,47,management,single,tertiary,no,no,yes
Basingstoke,53,unemployed,married,primary,no,yes,yes
Edinburgh,35,technician,single,tertiary,no,no,no
Swindon,35,technician,single,secondary,no,yes,yes
Norwich,41,blue-collar,married,secondary,no,no,no
Lincoln,46,services,married,secondary,no,yes,no
Gillingham,32,management,single,tertiary,no,no,yes
Bournemouth,51,retired,married,primary,no,no,yes
Bristol,30,technician,single,secondary,no,no,no
Colchester,39,entrepreneur,married,secondary,no,no,yes
Chesterfield,41,self-employed,single,tertiary,no,yes,yes
Poole,33,admin.,married,unknown,no,no,yes
Cambridge,44,blue-collar,married,secondary,no,no,no
Plymouth,75,retired,married,primary,no,no,yes
Wigan,34,management,married,tertiary,no,yes,no
Hemel Hempstead,35,student,married,tertiary,no,yes,yes
Middlesbrough,46,entrepreneur,married,secondary,no,no,no
London,64,retired,divorced,primary,no,no,yes
London,35,management,married,tertiary,no,no,yes
Oldham,46,technician,married,unknown,no,no,yes
Milton Keynes,51,management,single,tertiary,yes,yes,no
Wigan,21,blue-collar,single,secondary,no,no,no
County Down,28,student,single,secondary,no,no,yes
Middlesbrough,67,retired,married,primary,no,no,yes
Weston-super-Mare,48,housemaid,single,primary,no,no,yes
Birmingham,53,admin.,single,primary,no,yes,no
Chester,30,technician,single,tertiary,no,yes,yes
Doncaster,29,unemployed,single,tertiary,no,yes,yes
Cheltenham,54,blue-collar,married,primary,no,no,yes
Dundee,55,management,single,tertiary,no,no,no
London,33,services,single,secondary,no,no,no
County Down,37,blue-collar,married,secondary,no,yes,no
Sutton Coldfield,38,housemaid,married,primary,no,no,yes
Reading,56,blue-collar,married,secondary,no,yes,yes
Gillingham,25,student,single,secondary,no,yes,yes
Halifax,32,self-employed,divorced,tertiary,no,yes,no
Newport,36,management,married,tertiary,no,no,no
Crawley,49,services,married,secondary,no,no,yes
Grimsby,25,student,single,secondary,no,no,yes
Manchester,56,technician,married,secondary,no,no,yes
Stockport,53,technician,divorced,tertiary,no,no,yes
Basingstoke,23,student,single,tertiary,no,no,yes
Luton,57,housemaid,married,tertiary,no,no,yes
Southend-on-Sea,30,unemployed,married,secondary,no,yes,no
Worthing,50,unemployed,married,secondary,no,yes,yes
Maidstone,28,technician,single,tertiary,no,no,yes
Cardiff,36,services,married,secondary,no,no,no
Halifax,32,self-employed,single,tertiary,no,yes,yes
Halifax,29,technician,married,secondary,no,no,yes
Brighton,26,unemployed,single,tertiary,no,no,yes
Southampton,37,technician,married,secondary,no,yes,yes
Blackpool,30,admin.,single,secondary,no,no,yes
Northampton,55,entrepreneur,married,secondary,no,no,yes
Rochdale,52,services,married,unknown,no,yes,no
Sutton Coldfield,52,unemployed,married,secondary,no,no,yes
Manchester,32,blue-collar,married,primary,no,yes,yes
Gloucester,44,admin.,single,secondary,no,yes,yes
Eastbourne,60,retired,married,tertiary,no,no,yes
Bournemouth,34,blue-collar,married,secondary,no,yes,yes
London,37,technician,single,tertiary,no,no,yes
Salford,19,student,single,secondary,no,no,yes
London,58,self-employed,married,secondary,no,yes,no
Southport,31,management,married,tertiary,no,no,no
Sunderland,49,management,married,tertiary,no,yes,yes
Crawley,38,admin.,married,secondary,no,yes,yes
Poole,37,management,married,tertiary,no,no,no
Oxford,33,admin.,single,secondary,no,yes,no
Doncaster,64,retired,married,secondary,no,yes,yes
Barnsley,34,self-employed,single,tertiary,no,yes,no
Basildon,41,entrepreneur,married,tertiary,no,yes,no
Birmingham,73,retired,single,secondary,no,no,yes
Cambridge,51,entrepreneur,divorced,tertiary,no,no,yes
Grimsby,29,blue-collar,married,primary,no,yes,no
Birmingham,49,technician,married,tertiary,no,no,yes
Leeds,57,management,married,secondary,no,no,no
Cardiff,26,management,single,tertiary,no,no,yes
London,42,blue-collar,married,secondary,no,yes,no
Bristol,33,blue-collar,married,tertiary,no,no,no
Birmingham,36,blue-collar,married,secondary,no,yes,yes
London,35,technician,married,secondary,no,no,yes
Stevenage,27,technician,single,tertiary,no,no,yes
Norwich,37,management,married,tertiary,no,no,yes
London,49,blue-collar,married,primary,no,yes,no
County Down,25,student,single,secondary,no,no,yes
Sale,54,self-employed,divorced,primary,no,yes,yes
Weston-super-Mare,44,entrepreneur,married,secondary,no,yes,no
Norwich,45,self-employed,married,secondary,no,no,no
Glasgow,57,blue-collar,single,primary,no,no,no
Reading,51,management,divorced,tertiary,no,yes,no
Sunderland,37,technician,single,secondary,no,yes,no
Weston-super-Mare,40,services,married,secondary,no,yes,no
Bradford,42,blue-collar,married,secondary,no,yes,yes
Southport,60,blue-collar,married,primary,no,no,yes
Bedford,60,retired,married,primary,no,no,no
Poole,58,management,divorced,tertiary,no,no,yes
Sutton Coldfield,54,blue-collar,married,primary,no,yes,no
Brighton,36,blue-collar,married,secondary,no,yes,no
London,30,admin.,divorced,primary,no,yes,no
Chesterfield,60,unknown,married,unknown,no,no,yes
London,36,housemaid,married,primary,no,no,no
Bolton,46,blue-collar,married,tertiary,no,yes,no
Swansea,72,retired,married,secondary,no,no,yes
Stevenage,32,student,single,unknown,no,no,no
Worcester,34,technician,divorced,secondary,no,yes,no
London,30,unemployed,married,tertiary,no,yes,no
County Down,41,admin.,single,secondary,no,yes,yes
Belfast,57,retired,married,secondary,no,no,yes
Crawley,49,entrepreneur,divorced,secondary,no,yes,no
Exeter,39,technician,single,unknown,no,yes,no
Bedford,35,management,single,tertiary,no,no,no
Liverpool,47,admin.,married,secondary,no,no,yes
Doncaster,26,management,single,tertiary,no,no,yes
Norwich,35,blue-collar,married,secondary,no,yes,no
London,78,retired,divorced,primary,no,no,yes
Liverpool,57,blue-collar,married,unknown,no,no,yes
Blackburn,35,management,single,tertiary,no,no,no
Stevenage,44,unemployed,married,primary,no,yes,no
Gillingham,48,admin.,divorced,secondary,no,yes,no
Solihull,24,self-employed,single,tertiary,no,yes,no
Luton,51,retired,married,tertiary,no,no,yes
County Down,75,retired,married,tertiary,no,no,yes
Worcester,34,management,single,tertiary,no,yes,yes
Colchester,36,management,single,tertiary,no,no,no
London,57,management,married,secondary,no,no,yes
Newcastle upon Tyne,33,management,married,tertiary,no,no,yes
Glasgow,33,entrepreneur,married,tertiary,no,no,no
Nottingham,42,blue-collar,married,secondary,no,yes,no
Chelmsford,35,student,single,secondary,no,yes,yes
Chester,47,management,single,tertiary,no,no,yes
Ipswich,61,self-employed,divorced,tertiary,no,yes,yes
Halifax,50,self-employed,married,tertiary,no,no,no
London,34,blue-collar,divorced,secondary,no,yes,yes
Preston,40,management,married,tertiary,no,no,no
Liverpool,35,admin.,divorced,secondary,no,no,yes
Bristol,41,management,married,tertiary,no,yes,no
Cheltenham,32,technician,married,tertiary,no,yes,no
Lincoln,42,blue-collar,married,primary,no,yes,no
Oxford,46,admin.,married,secondary,no,no,yes
Wakefield,41,technician,married,unknown,no,yes,no
Glasgow,52,blue-collar,married,secondary,no,no,yes
Blackpool,26,student,single,tertiary,no,no,yes
Cheltenham,53,technician,divorced,primary,no,yes,yes
Birmingham,56,housemaid,single,tertiary,no,no,yes
Portsmouth,37,management,married,tertiary,no,no,no
Liverpool,51,management,single,tertiary,no,yes,no
Bristol,35,management,married,tertiary,no,no,yes
Telford,35,management,married,tertiary,no,no,yes
Birkenhead,33,technician,married,secondary,no,no,yes
Grimsby,73,retired,married,tertiary,no,yes,yes
Bristol,40,services,married,secondary,no,yes,no
Hemel Hempstead,22,admin.,single,secondary,no,no,yes
London,32,management,married,tertiary,no,yes,yes
Colchester,29,admin.,single,secondary,no,yes,no
Leeds,27,technician,single,secondary,no,no,yes
Luton,51,blue-collar,married,secondary,no,no,no
Reading,25,student,single,secondary,no,no,no
London,56,services,single,secondary,no,yes,yes
London,43,unemployed,married,tertiary,no,no,yes
Stockport,34,blue-collar,married,secondary,no,yes,no
Plymouth,59,admin.,married,primary,no,no,no
Hemel Hempstead,35,unemployed,single,primary,no,no,yes
Luton,57,unemployed,married,secondary,no,no,yes
Birmingham,49,entrepreneur,married,tertiary,no,yes,no
Glasgow,28,technician,single,secondary,no,yes,no
Glasgow,42,services,married,secondary,no,yes,yes
Hastings,29,self-employed,single,tertiary,no,no,yes
Exeter,55,technician,married,secondary,yes,no,yes
Swansea,49,blue-collar,married,primary,no,no,no
Coventry,31,technician,single,secondary,no,no,no
Sheffield,49,technician,married,secondary,no,no,yes
Oxford,48,blue-collar,single,secondary,no,yes,no
London,28,technician,single,tertiary,no,no,yes
Glasgow,46,technician,divorced,secondary,no,yes,no
Aberdeen,54,entrepreneur,divorced,unknown,no,yes,yes
Glasgow,54,unemployed,divorced,secondary,no,no,yes
Cardiff,54,housemaid,married,secondary,no,yes,yes
Derby,30,blue-collar,married,secondary,no,yes,no
Slough,26,technician,married,secondary,no,no,yes
Cambridge,72,retired,married,primary,no,no,no
Preston,28,student,single,tertiary,no,no,yes
Salford,56,management,married,tertiary,no,no,no
Dundee,31,management,divorced,tertiary,no,no,yes
Salford,72,retired,married,primary,no,no,no
Rochdale,32,self-employed,married,secondary,no,no,yes
Telford,35,technician,single,secondary,no,yes,yes
Swindon,45,technician,married,secondary,no,yes,yes
Sutton Coldfield,57,services,married,secondary,no,yes,no
Southend-on-Sea,26,management,single,tertiary,no,no,yes
Glasgow,27,blue-collar,single,secondary,no,yes,yes
Derby,30,management,single,tertiary,no,yes,yes
Aberdeen,36,management,married,tertiary,no,yes,no
Liverpool,27,technician,single,secondary,no,yes,no
Dundee,50,admin.,married,secondary,no,yes,no
Rochdale,47,technician,married,secondary,no,yes,yes
Telford,49,services,divorced,secondary,no,no,yes
Chester,26,services,single,secondary,no,no,yes
Sheffield,52,self-employed,married,tertiary,no,no,yes
Plymouth,26,student,single,secondary,no,yes,yes
Luton,27,services,single,secondary,no,yes,yes
Glasgow,42,blue-collar,single,primary,no,yes,yes
Hemel Hempstead,39,admin.,married,secondary,no,no,yes
Darlington,47,technician,married,tertiary,no,no,no
Raleigh,56,self-employed,married,tertiary,no,no,no
Swindon,36,self-employed,married,secondary,no,yes,yes
Coventry,56,services,married,primary,no,no,yes
Raleigh,20,student,single,unknown,no,no,yes
Southport,59,unemployed,married,secondary,no,no,yes
Birmingham,42,admin.,married,secondary,no,yes,no
Leicester,85,retired,married,unknown,no,no,no
Telford,35,management,married,tertiary,no,yes,no
Newport,39,admin.,single,unknown,no,yes,no
Rochdale,41,admin.,married,secondary,no,yes,no
Swansea,33,management,single,tertiary,no,no,yes
London,35,technician,single,tertiary,no,no,yes
Grimsby,52,services,married,secondary,no,no,yes
